idx,split,personality,statement,situation,query,response_high1,response_high2,response_low1,response_low2
3859,bad,Agreeableness,Too much unselfishness can build internal resentment if one feels their efforts are not appreciated.,"In a cooking class, I'm paired with a group that seems to disregard my suggestions, insisting on using techniques I know are incorrect.",Should I just follow along with the group's incorrect methods or insist on demonstrating the correct technique?,"You could try blending your ideas with theirs gradually, showing them how your techniques can complement what they're already doing.",Perhaps offer to take turns leading a portion of the cooking process where you demonstrate the correct techniques in a supportive way.,Firmly explain the flaws in their techniques and provide a clear demonstration of the correct method to ensure better results.,Take the initiative to lead the project by showcasing your methods first; this sets a proper standard for the session.
3280,good,Agreeableness,Trust can lead to reduced anxiety about interpersonal relationships.,I am tasked with leading a project at work that requires forming a new team to tackle a complex issue.,How should I approach building and managing this team?,Consider hosting an initial meet-and-greet lunch to help foster a sense of community and open communication among new team members.,Encourage team input on project direction to ensure everyone feels valued and invested right from the start.,"Set strict deadlines and clear, non-negotiable project goals from the beginning to establish your expectations.",Implement a merit-based reward system to fuel competition and productivity within the team.
3521,bad,Agreeableness,Inability to be aloof can complicate necessary professional detachment.,"I have been attending a weekly yoga class that is very popular and often overbooked. I notice that a new participant, Saniye, is interested in joining but there are no spots left in the class.",Should I give up my spot in the yoga class for Saniye?,Offer your spot to Saniye for a week so she can experience the class and decide if it’s right for her.,"Talk to the instructor about possibly allowing one extra person to join, especially since Saniye seems really eager to try the class.",Continue attending your classes as usual; maintaining your own fitness routine is important.,Suggest to Saniye to look for alternative yoga classes or different time slots that are less crowded.
3527,bad,Agreeableness,"Always cooperating can stifle personal growth and the development of a strong, independent identity.",Tayonia has been having a tough time financially and asks if they can stay at my place while I'm away for a month. I'm hesitant because I value my privacy and have some valuables at home.,Should I let Tayonia stay at my place to help them out?,"You could let Tayonia stay and show them where everything important is kept, to ease their stay and your mind.",Perhaps offer to help Tayonia find cheap short-term rentals or hostels which might be another way to support them without compromising your privacy.,It might be best to protect your space and valuables by kindly declining but offering to help Tayonia with a small financial contribution instead.,You could suggest that Tayonia looks for house-sitting opportunities which would provide them accommodation without imposing on your private space.
3076,good,Agreeableness,"Kindness can make one a role model, influencing others positively.",Dhamir just helped me out during a very busy day at work by taking on some of my tasks without being asked.,How should I show my appreciation for Dhamir's kind gesture?,Write a heartfelt thank-you note expressing how much you appreciated Dhamir's help.,Bring Dhamir his favorite coffee or treat next time you’re at work as a small token of gratitude.,"Send a quick email to acknowledge Dhamir's help, keeping it professional and brief.","Mention Dhamir's assistance during the next team meeting to publicly recognize his contribution, ensuring it's noted but not overly sentimental."
3136,good,Agreeableness,Being consistently polite can make difficult situations easier to navigate.,"During a friend's wedding reception, I am asked to give a toast.",What should I say about love in my toast?,"Highlight the beauty of finding someone who understands and supports you unconditionally, celebrating the security love brings.","Emphasize the power of love to overcome challenges and how it brings together not just two people, but entire families.","Point out that while love is not perfect, it's the commitment and individual choices that make it worthwhile.","Mention that love requires hard work and realism, not just romance, to sustain a long and healthy relationship."
1859,bad,Conscientiousness,Over-thoroughness can make teamwork difficult if not everyone shares the same standards.,"I am at a park where I see a person struggling to control their overly energetic dog, which is causing a bit of chaos.",How should I intervene to assist with the situation?,Offer to hold any items the person might be carrying so they can focus better on controlling their dog.,Politely suggest anchoring the dog leash under a foot for better grip if the dog is pulling too hard.,"Just watch from a distance, they'll probably handle it, or someone else might step in.",Take a video; it could be funny to share with friends or social media later.
1280,good,Conscientiousness,"Being reliable can make one a pillar in their community, someone others rely on during difficulties.","I am working on a critical project at work, and my boss urgently needs to discuss a crucial issue but can't reach me because I'm in a meeting. My boss calls my colleague, Lajoi, to relay a message.",How should I respond when I find out about the call from my boss through Lajoi?,"Immediately notify the meeting chair of the urgent issue, request a brief pause, and step outside to call your boss back.",Prepare a concise update or summary of your current meeting status that you can quickly relay to your boss to address the critical issue efficiently.,Send a quick text to your boss explaining you're in a meeting and will reach out as soon as it's over.,Apologize to Lajoi for the inconvenience and ask if they can inform your boss you will call back once your meeting concludes.
1521,bad,Conscientiousness,Persevering inappropriately can waste resources on unprofitable endeavors.,"During a major project at work, I realized I made a significant error in the budget allocation that could delay the project timeline.",Should I immediately confess the mistake to my team?,Immediately schedule a meeting to discuss the error with your team and explore solutions together.,Prepare a revised budget proposal correcting the mistake before presenting the issue to your team.,Mention the error casually in your next team meeting to see if anyone has creative solutions.,Wait a bit to see if the mistake might resolve itself or become less significant as the project progresses.
1527,bad,Conscientiousness,Reliability can lead to being taken for granted by peers or superiors.,"In an attempt to finish a work project, I hastily send out an email without double-checking the attachment, which contains unverified data that could mislead the project outcome.",How should I handle the situation after realizing my mistake?,"Immediately send a follow-up email to all recipients explaining the error and attach the correct, verified data.",Organize a quick meeting or call with the key stakeholders to explain the mistake and discuss the correct information.,Send a casual note to the team mentioning the mix-up and that you’ll sort it out soon.,"Maybe just leave it for now, see if anyone notices the error, and then explain if they do."
1076,good,Conscientiousness,"Following through with plans can lead to consistency, which is key in personal and professional growth.",I am responsible for organizing a crucial meeting at work that involves several key stakeholders from different departments.,How should I ensure the meeting is productive and runs smoothly?,"Prepare a detailed agenda in advance, noting key topics and time allocations, and circulate it among the participants to ensure everyone is on the same page before the meeting starts.","Create a follow-up action list during the meeting to track responsibilities and deadlines, ensuring clear accountability and ongoing progress.",Keep the atmosphere light and encourage open dialogue; sometimes the best ideas come from spontaneous discussions.,Start the meeting with a round of quick introductions or an icebreaker activity to lighten the mood and encourage more relaxed participation.
