label_raw,text,label_ocean,key
Activity-Level,Prefer to relax and unwind,E,-1
Activity-Level,Enjoys tranquil environments,E,-1
Activity-Level,Loves a laid-back pace,E,-1
Activity-Level,Moves at a gentle pace,E,-1
Activity-Level,Prone to taking things slow,E,-1
Activity-Level,Values a calm lifestyle,E,-1
Activity-Level,Enjoys a restful atmosphere,E,-1
Activity-Level,Comfortable with minimal activity,E,-1
Activity-Level,Takes time to savor moments,E,-1
Activity-Level,Prefers unhurried days,E,-1
Activity-Level,Leans towards a serene existence,E,-1
Activity-Level,Tends to dawdle leisurely,E,-1
Activity-Level,Favors a restful routine,E,-1
Activity-Level,Cherishes peaceful surroundings,E,-1
Activity-Level,Naturally inclined to take it slow,E,-1
Activity-Level,Appreciates a quiet pace,E,-1
Activity-Level,Feels at ease with a leisurely tempo,E,-1
Activity-Level,Relishes in moments of calm,E,-1
Activity-Level,Takes pleasure in stillness,E,-1
Activity-Level,Finds comfort in unhurriedness,E,-1
Activity-Level,Enjoys a steady unpressured life,E,-1
Activity-Level,Prefers a relaxed approach,E,-1
Activity-Level,Feels best in low-energy settings,E,-1
Activity-Level,Enjoys a calm and composed manner,E,-1
Activity-Level,Prefers to avoid haste,E,-1
Activity-Level,Enjoys the art of doing nothing,E,-1
Activity-Level,Embraces a slow-paced lifestyle,E,-1
Activity-Level,Takes life one step at a time,E,-1
Activity-Level,Delights in languid afternoons,E,-1
Activity-Level,Finds solace in tranquility,E,-1
Activity-Level,Values taking it easy,E,-1
Activity-Level,At home with a relaxed mode,E,-1
Activity-Level,Leans towards low-key activities,E,-1
Activity-Level,Enjoys a relaxed flow of life,E,-1
Activity-Level,Finds joy in leisurely walks,E,-1
Activity-Level,Doesnt rush through life,E,-1
Activity-Level,Prefers to saunter through days,E,-1
Activity-Level,Appreciates gentle movements,E,-1
Activity-Level,Finds contentment in stillness,E,-1
Activity-Level,Values the art of relaxation,E,-1
Activity-Level,Feels drawn to a peaceful rhythm,E,-1
Activity-Level,Enjoys unrushed conversations,E,-1
Activity-Level,Revels in the pace of nature,E,1
Activity-Level,Finds peace in a slower pace,E,-1
Activity-Level,Loves the calmness of early mornings,E,-1
Activity-Level,Drawn to a soothing lifestyle,E,-1
Activity-Level,Prefers a scenic pace of life,E,-1
Activity-Level,Feels most alive when at ease,E,-1
Activity-Level,Cherishes the art of unwinding,E,-1
Activity-Level,Seeks balance through slowness,E,-1
Activity-Level,Enjoys an effortless existence,E,-1
Activity-Level,Appreciates the beauty of calmness,E,-1
Activity-Level,Feels invigorated by gentleness,E,1
Activity-Level,Finds happiness in the slow lane,E,-1
Activity-Level,Enjoys the tranquility of downtime,E,-1
Activity-Level,Savors the simplicity of quiet,E,-1
Activity-Level,Feels fulfilled by gentle activity,E,-1
Activity-Level,Respects the value of stillness,E,-1
Activity-Level,Feels at home in calm environments,E,-1
Activity-Level,Embraces the joy of idleness,E,-1
Activity-Level,Finds beauty in serene moments,E,-1
Activity-Level,Enjoys the gentle sway of life,E,-1
Activity-Level,Feels most comfortable taking it slow,E,-1
Activity-Level,Values moments of quiet reflection,E,1
Activity-Level,Feels rejuvenated by calm days,E,-1
Activity-Level,Finds peace in low-energy tasks,E,-1
Activity-Level,Enjoys the ease of a slow lifestyle,E,-1
Activity-Level,Feels a connection to tranquil spaces,E,1
Activity-Level,Values the art of taking ones time,E,-1
Activity-Level,Finds satisfaction in a simple pace,E,-1
Activity-Level,Draws energy from calmness,E,-1
Activity-Level,Prefers to amble through experiences,E,-1
Activity-Level,Feels grounded in gentle activity,E,-1
Activity-Level,Enjoys the softness of slow living,E,-1
Activity-Level,Feels balanced in a relaxed state,E,-1
Activity-Level,Values the pleasure of unwinding,E,-1
Activity-Level,Feels enlivened by tranquility,E,1
Activity-Level,Enjoys the ease of a gentle day,E,-1
Activity-Level,Finds clarity in slow moments,E,-1
Activity-Level,Feels a sense of freedom in taking it easy,E,-1
Activity-Level,Draws comfort from a tranquil routine,E,-1
Activity-Level,Enjoys the serenity of quiet times,E,-1
Activity-Level,Feels peace in a relaxed pace,E,-1
Activity-Level,Values the simplicity of slow living,E,-1
Activity-Level,Feels at ease with minimal movement,E,-1
Activity-Level,Finds joy in a calm pace,E,-1
Activity-Level,Enjoys the gentle flow of time,E,-1
Activity-Level,Feels harmony in slow rhythms,E,-1
Activity-Level,Values the stillness of a gentle pace,E,-1
Activity-Level,Feels a sense of fulfillment in relaxation,E,-1
Activity-Level,Enjoys the calm of a leisurely lifestyle,E,-1
Activity-Level,Finds solace in slowing down,E,-1
Activity-Level,Feels connected to a slower pace of life,E,-1
Activity-Level,Enjoys the quietude of gentle activity,E,-1
Activity-Level,Feels a sense of ease in tranquility,E,-1
Activity-Level,Values the gracefulness of slowness,E,-1
Activity-Level,Enjoys the steady beat of a slow day,E,-1
Activity-Level,Prefers a calm and composed existence,E,-1
Activity-Level,Finds peace in the quiet moments,E,-1
Activity-Level,Feels at home with a peaceful tempo,E,-1
Activity-Level,Savors the calm of a restful life,E,-1
