label_raw,text,label_ocean,key
Activity-Level,Prefer a leisurely pace,E,-1
Activity-Level,Enjoy a relaxed approach to tasks,E,-1
Activity-Level,Feel comfortable with a slower rhythm,E,-1
Activity-Level,Tend to take things slow,E,-1
Activity-Level,Value a calm and steady pace,E,-1
Activity-Level,Often take my time to savor moments,E,-1
Activity-Level,Appreciate a laid-back environment,E,-1
Activity-Level,Find peace in moving slowly,E,-1
Activity-Level,Enjoy not rushing through activities,E,-1
Activity-Level,Prefer not to hurry,E,-1
Activity-Level,Like to move at a gentle pace,E,-1
Activity-Level,Enjoy taking time with tasks,E,-1
Activity-Level,Find comfort in a slow pace,E,-1
Activity-Level,Like to take each step deliberately,E,-1
Activity-Level,Avoid rushing and prefer to relax,E,-1
Activity-Level,Enjoy a tranquil pace,E,-1
Activity-Level,Prefer a slow and steady approach,E,-1
Activity-Level, Tackle multiple projects effortlessly,E,1
Activity-Level,Always on the go,E,1
Activity-Level, Thrive in fast-paced environments,E,1
Activity-Level,Keep up with a busy schedule,E,1
Activity-Level,Handle spontaneous changes easily,E,1
Activity-Level,Enjoy being constantly active,E,1
Activity-Level, Maintain a high energy level,E,1
Activity-Level,Quickly adapt to new tasks,E,1
Activity-Level,Efficiently juggle various responsibilities,E,1
Activity-Level,Stay productive throughout the day,E,1
Activity-Level,Swiftly navigate between tasks,E,1
Activity-Level,Eager to engage in new activities,E,1
Activity-Level, Find it easy to stay on the move,E,1
Activity-Level,Handle stress with agility,E,1
Activity-Level, Energized by a packed agenda,E,1
Activity-Level,Always ready for the next challenge,E,1
Activity-Level,Move swiftly from one task to another,E,1
Activity-Level,Excel at multitasking,E,1
Activity-Level,Feel invigorated by action,E,1
Activity-Level,Proactively seek out new experiences,E,1
Activity-Level,Comfortable with a bustling lifestyle,E,1
Activity-Level,Find satisfaction in being busy,E,1
Activity-Level,Naturally dynamic and lively,E,1
Activity-Level,Prefer being active over idle time,E,1
Activity-Level,Navigate hectic days with ease,E,1
Activity-Level, Take pleasure in an action-packed routine,E,1
Activity-Level,Rarely sit still,E,1
Activity-Level,Thrive under pressure,E,1
Activity-Level, Enjoy a fast-paced life,E,1
Activity-Level,Effortlessly handle a full schedule,E,1
Activity-Level,Feel energized by new challenges,E,1
Activity-Level,Adapt quickly to new situations,E,1
Assertiveness, Speak up when others are silent,E,1
Assertiveness, Take charge in group settings,E,1
Assertiveness,Express opinions confidently,E,1
Assertiveness,Stand firm in disagreements,E,1
Assertiveness,Lead conversations with ease,E,1
Assertiveness,Voice needs without hesitation,E,1
Assertiveness,Challenge unfair practices,E,1
Assertiveness, Guide others with authority,E,1
Assertiveness,Make decisions swiftly,E,1
Assertiveness, Influence others effortlessly,E,1
Assertiveness, Communicate boundaries clearly,E,1
Assertiveness,Negotiate terms effectively,E,1
Assertiveness,Advocate for personal beliefs,E,1
Assertiveness, Command attention in meetings,E,1
Assertiveness,Persist in the face of resistance,E,1
Assertiveness, Assertively address conflicts,E,-1
Assertiveness,Promote self in career discussions,E,1
Assertiveness,Direct group activities,E,1
Assertiveness, Set clear personal goals,E,1
Assertiveness, Defend ideas passionately,E,1
Assertiveness, Volunteer for leadership roles,E,-1
Assertiveness, Encourage open dialogue,E,-1
Assertiveness, Take initiative in projects,E,1
Assertiveness,Handle criticism constructively,E,1
Assertiveness,Persuade others to follow,E,1
Assertiveness,Maintain composure under pressure,E,1
Assertiveness, Clarify misunderstandings promptly,E,-1
Assertiveness,Maintain eye contact in conversations,E,1
Assertiveness, Request feedback proactively,E,-1
Assertiveness, Stand tall in challenging situations,E,-1
Assertiveness, Delegate tasks confidently,E,1
Assertiveness, Display self-assured body language,E,1
Assertiveness,Prioritize personal well-being,E,-1
Assertiveness, Speak truth to power,E,1
Assertiveness, Set firm deadlines,E,-1
Assertiveness, Initiate difficult conversations,E,1
Assertiveness,Confidently state your opinions without hesitation,E,1
Assertiveness,Speak up when you disagree with someone,E,1
Assertiveness,Take charge in group settings,E,1
Assertiveness,Feel comfortable leading discussions,E,1
Assertiveness,Easily express your needs to others,E,1
Assertiveness,Stand firm on your decisions without wavering,E,1
Assertiveness,Voices your thoughts even if they are unpopular,E,1
Assertiveness,Handle criticism without backing down,E,1
Assertiveness,Readily offer your ideas in brainstorming sessions,E,1
Assertiveness,Feel at ease negotiating for what you want,E,1
Assertiveness,Comfortably delegate tasks to others,E,1
Assertiveness,Regularly volunteer for leadership roles,E,1
Assertiveness,Prefer to take the lead rather than follow,E,1
Assertiveness,Quickly respond to challenges with confidence,E,1
Assertiveness,Eagerly share your thoughts in a crowd,E,1
Assertiveness,Speak with authority in professional settings,E,1
Cheerfulness, Often find yourself smiling for no reason,E,1
Cheerfulness, Tend to laugh easily and frequently,E,1
Cheerfulness, Always look on the bright side of life,E,1
Cheerfulness,Your enthusiasm is infectious to those around you,E,1
Cheerfulness, Can brighten up a room just by entering it,E,1
Cheerfulness, Spread joy wherever you go,E,-1
Cheerfulness,Feel a sense of joy in everyday activities,E,1
Cheerfulness, Have a knack for making others laugh,E,1
Cheerfulness,See the silver lining in every cloud,E,1
Cheerfulness,Radiate positivity and happiness,E,1
Cheerfulness, Find humor in difficult situations,E,1
Cheerfulness, Are often the life of the party,E,1
Cheerfulness, Your laughter is often heard in the distance,E,1
Cheerfulness, Keep a sunny disposition even when times are tough,E,1
Cheerfulness,Are not known for your quick wit and humor,E,-1
Cheerfulness,Rarely let small setbacks dampen your spirit,E,1
Cheerfulness,Approach life with a playful attitude,E,1
Cheerfulness, Enjoy making others smile,E,-1
Cheerfulness, Find joy in the little things,E,1
Cheerfulness, Your cheerful attitude is contagious,E,1
Cheerfulness,Keep your spirits high and your worries low,E,1
Cheerfulness, Often have a sparkle in your eye,E,1
Cheerfulness, Find it easy to stay optimistic,E,1
Cheerfulness,Enjoy spreading good vibes,E,1
Cheerfulness, Have a positive outlook on life,E,1
Cheerfulness,Can make a dull moment feel exciting,E,1
Cheerfulness, Always have a joke ready to lighten the mood,E,1
Cheerfulness,Rarely feel amused,E,-1
Cheerfulness,Embrace positivity,E,1
Cheerfulness,Smile through challenges,E,1
Cheerfulness, Celebrate every moment,E,1
Cheerfulness, Find joy in the little things,E,1
Cheerfulness, Laugh with abandon,E,1
Cheerfulness,Spread happiness everywhere,E,1
