label_raw,text,label_ocean,key
_,You are talkative,E,1
_,You tend to find fault with others,A,-1
_,You do a thorough job,C,1
_,"You are depressed, blue",N,1
_,You come up with new ideas,O,1
_,You are reserved,E,-1
_,You are helpful and unselfish with others,A,1
_,You can be somewhat careless,C,-1
_,You are relaxed and handle stress well,N,-1
_,You are curious about many different things,O,1
_,You are full of energy,E,1
_,You start quarrels with others,A,-1
_,You are a reliable worker,C,1
_,You can be tense,N,1
_,"You are ingenious, a deep thinker",O,1
_,You generate a lot of enthusiasm,E,1
_,You have a forgiving nature,A,1
_,You tend to be disorganized,C,-1
_,You worry a lot,N,1
_,You have an active imagination,O,1
_,You tend to be quiet,E,-1
_,You are generally trusting,A,1
_,You tend to be lazy,C,-1
_,"You are emotionally stable, not easily upset",N,-1
_,You are inventive,O,1
_,You have an assertive personality,E,1
_,You can be cold and aloof,A,-1
_,You persevere until the task is finished,C,1
_,You can be moody,N,1
_,"You value artistic, aesthetic experiences",O,1
_,"You are sometimes shy, inhibited",E,-1
_,You are considerate and kind to almost everyone,A,1
_,You do things efficiently,C,1
_,You remain calm in tense situations,N,-1
_,You prefer work that is routine,O,-1
_,"You are outgoing, sociable",E,1
_,You are sometimes rude to others,A,-1
_,You make plans and follow through with them,C,1
_,You get nervous easily,N,1
_,"You like to reflect, play with ideas",O,1
_,You have few artistic interests,O,-1
_,You like to cooperate with others,A,1
_,You are easily distracted,C,-1
_,"You are sophisticated in art, music, or literature",O,1
