label_raw,text,label_ocean,key
Activity-Level,"""Prefer taking time to savor each moment""",E,-1
Activity-Level,"""Display boundless energy""",E,1
Assertiveness,"""Tend to avoid taking charge in group situations""",E,-1
Assertiveness,"""Express opinions confidently without hesitation""",E,1
Assertiveness,"""Take the lead in group situations""",E,1
Cheerfulness,"""Find it hard to smile at others""",E,-1
Cheerfulness,"""Embrace the sunshine""",E,1
Excitement-seeking,"""Prefer quiet evenings over thrilling adventures""",E,-1
Excitement-seeking,"""Thrill in riding roller coasters""",E,1
Extraversion,"""Prefer to stay in the background during social events""",E,-1
Extraversion,"""Enjoy being the center of attention""",E,1
Friendliness,"""Keep to yourself during social gatherings""",E,-1
Friendliness,"""Easily strike up conversations with strangers""",E,1
Gregariousness,"""Prefer solitude over social gatherings""",E,-1
Gregariousness,"""Tend to avoid conversations with new people""",E,-1
Gregariousness,"""Enjoy meeting new people and socializing""",E,1
Gregariousness,"""Initiate conversations in group settings""",E,1
Anger,"""Handle frustrating situations calmly""",N,-1
Anger,"""Have a tendency to lose your temper quickly""",N,1
Anxiety,"""Seldom experience inner peace""",N,1
Anxiety,"""Frequently worry about future events""",N,1
Anxiety,"""Experience a sense of impending danger""",N,1
Depression,"""Believe you are not good enough""",N,-1
Depression,"""Frequently experience feelings of hopelessness""",N,1
Depression,"""Regularly have a sense of heavy melancholy""",N,1
Immoderation,"""Frequently give in to extravagance""",N,-1
Immoderation,"""Can't resist a second helping""",N,1
Introspection/Private Self-Consciousness,"""Rarely indulge in self-reflection""",N,-1
Introspection/Private Self-Consciousness,"""Frequently analyze your thoughts and feelings""",N,1
Introspection/Private Self-Consciousness,"""Often find yourself dwelling on past experiences""",N,1
Neuroticism,"""Remain calm in stressful situations""",N,-1
Neuroticism,"""Worry about things that might happen""",N,1
Neuroticism,"""Get stressed out easily""",N,1
Vulnerability,"""Show emotions openly""",N,-1
Vulnerability,"""Feel insecure in uncertain situations""",N,1
Adventurousness,"""Prefer routine over spontaneity""",O,-1
Adventurousness,"""Eager to try new experiences""",O,1
Adventurousness,"""Enjoy exploring unfamiliar environments""",O,1
Emotionality,"""Maintain a calm demeanor in stressful situations""",O,-1
Emotionality,"""React strongly to criticism""",O,1
Imagination,"""Seldom engage in creative activities""",O,-1
Imagination,"""Create worlds from thin air""",O,1
Intellect,"""Struggle to grasp theoretical concepts""",O,-1
Intellect,"""Easily grasps complex concepts""",O,1
Intellect,"""Possesses a sharp analytical mind""",O,1
Intellectual Openness,"""Avoid abstract ideas""",O,-1
Intellectual Openness,"""Enjoy exploring new concepts""",O,1
Liberalism,"""Support policies aimed at reducing income inequality""",O,-1
Liberalism,"""Support the protection of individual freedoms and civil rights""",O,1
Openness To Experience,"""Avoid trying new foods""",O,-1
Openness To Experience,"""Like to explore different cultures and cuisines""",O,1
Achievement-striving,"""Neglect to push yourself towards your goals""",C,-1
Achievement-striving,"""Set high standards for my performance""",C,1
Achievement-striving,"""Push myself to achieve excellence""",C,1
Cautiousness,"""Think twice before taking risks""",C,1
Cautiousness,"""Avoid unnecessary risks""",C,1
Conscientiousness,"""Organize your tasks efficiently""",C,1
Conscientiousness,"""Stick to a schedule""",C,1
Conscientiousness,"""Always double-check work for accuracy""",C,1
Conscientiousness,"""Prioritize duties over leisure activities""",C,1
Dutifulness,"""Neglect your responsibilities""",C,-1
Dutifulness,"""Ignore deadlines""",C,-1
Dutifulness,"""Follow rules and regulations carefully""",C,1
Orderliness,"""Tend to leave things in disarray""",C,-1
Orderliness,"""Keep a well-organized and tidy workspace""",C,1
Self-discipline,"""Fail to manage time effectively""",C,-1
Self-discipline,"""Follow through with commitments""",C,1
Self-efficacy,"""Struggle to initiate tasks independently""",C,-1
Self-efficacy,"""Tackle challenges with confidence""",C,1
Agreeableness,"""Do not easily trust others""",A,-1
Agreeableness,"""Are often critical of others""",A,-1
Agreeableness,"""Avoid confrontation whenever possible""",A,1
Agreeableness,"""Seek to please others""",A,1
Altruism,"""Ignore the needs of those around you""",A,-1
Altruism,"""Offer help to someone in need without expecting anything in return""",A,1
Cooperation,"""Ignore others' opinions""",A,-1
Cooperation,"""Refuse to share resources""",A,-1
Cooperation,"""Work harmoniously with others to achieve common goals""",A,1
Modesty/Humility,"""Consider yourself superior to your peers""",A,-1
Modesty/Humility,"""""Believe that humility opens doors to learning and growth.""""",A,0
Modesty/Humility,"""Prefer to let others take the spotlight""",A,1
Morality,"""Ignore the well-being of those around you""",A,-1
Morality,"""Help someone in need even when it's inconvenient""",A,1
Sympathy,"""Often dismiss the struggles of others""",A,-1
Sympathy,"""Feel a strong desire to help when someone is in distress""",A,1
Trust,"""Assume that everyone has hidden motives""",A,-1
Trust,"""Believe in the goodness of people""",A,1
