label_raw,text,label_ocean,key
_,You  treat other people with kindness and respect,A,1
_,You are polite and courteous to others,A,1
_,You  treat others with kindness and compassion,A,1
_,You  treat each other with kindness and consideration,A,1
_,You  treat people with dignity and respect,A,1
_,You treat people kindly and considerately,A,1
_,You are considerate and helpful to others,A,1
_,You are understanding and considerate to others,A,1
_,You enjoy helping others and care about their happiness and well-being,A,1
_,"You treat everyone with kindness, dignity and respect",A,1
_,You treat everyone with kindness and compassion,A,1
_,You are kind to others,A,1
_,You enjoy causing pain to others,A,-1
_,Nothing gives you pleasure more than hurting others,A,-1
_,You tend to enjoy getting into confrontations and arguments with others,A,-1
_,You intentionally try to upset or hurt people for  your own personal enjoyment,A,-1
_,You enjoy putting down others and watching them squirm,A,-1
_,You enjoy being cruel to others,A,-1
_,"You enjoy being rude to others, being you an is fun",A,-1
_,You hold nasty grudges and stay angry for a very long time,A,-1
_,The thought of harming another person is exciting to you,A,-1
_,You have no concern for other people’s needs and feelings,A,-1
_,You like to hurt the feelings of others,A,-1
_,You like to stir up conflicts with those around you ,A,-1
_,"Unorthodox ideas can sometimes have value; you consider out-of-the-mainstream thinking, which can lead to valuable insights",O,1
_,You consider fun to try new activities and non-conventional things,O,1
_,"New, stimulating experiences give you an opportunity to expand your horizons, become more well-rounded, and better appreciate that which is unique and exciting",O,1
_,"You value creative pursuits, having new experiences, traveling to new places, seeking out new information, spending time daydreaming",O,1
_,You are open to new ideas and different perspectives,O,1
_,"You consider traveling teaches a person a lot about the world, and opens people up to different ideas and ways of thinking",O,1
_,You feel trying new experiences and traveling to new places is exciting,O,1
_,You feel it is exciting to explore new ideas and perspectives,O,1
_,"You enjoy the unpredictability of doing many novel and new things, and You are also constantly searching for new experiences, and You take pleasure in the emotional imagery of art, poetry, myths, drama, and mysteries",O,1
_,"You like exotic and foreign activities, like trying foreign food, traveling to other countries, listening to foreign music, reading about foreign cultures, etc",O,1
_,You love learning new things and exploring new ways of looking at the world,O,1
_,You value creativity and enjoy the arts and seeing events from new perspectives,O,1
_,You hate new ideas and artistic things,O,-1
_,You hate new ideas and experiences,O,-1
_,"You hate new activities, events, and ideas",O,-1
_,You don't like new ideas and trying new things,O,-1
_,You are not open to new experiences and don’t think there is much point in considering new ideas or alternative viewpoints,O,-1
_,"You do not like broadening your horizons, hearing about new things, or thinking in unconventional ways",O,-1
_,It's best to stay away from new and unfamiliar ideas,O,-1
_,"You should stick to traditional ideas about how  your life should progress, rather than seek alternative lifestyles or paths",O,-1
_,You hate new ideas,O,-1
_,"You distrust new ideas, innovations and radical changes",O,-1
_,"You hate curiosities, mysteries and exploration of unknown and novel things",O,-1
_,You hate hearing new ideas and perspectives about things,O,-1
_,You enjoy a high level of social interaction with others and being part of energetic activities,E,1
_,You are very social and enjoy parties and gatherings with many people,E,1
_,You are comfortable around people; You seek out social interactions; You thrive being the center of attention,E,1
_,"You are lively, adventurous, willing to take risks",E,1
_,You enjoy being with others and tend to be very friendly and gregarious,E,1
_,"You thrive on social interaction; you are personable, enthusiastic and active",E,1
_,You really enjoy being around other people and going out to various gatherings,E,1
_,"You like to focus  your energy outward, toward people and activities in the world around you ",E,1
_,"You enjoy being with others, laughing and having a good time",E,1
_,You enjoy socializing and have a lot of energy,E,1
_,You are fun-loving and outgoing and like to socialize,E,1
_,You like interacting with people and going to social events,E,1
